Ticker,Acurácia Dir %,Acertos,Erros,Dias Teste,Dias Treino,Classe,Coef. MIDAS,Retorno 1 Ano %,Sharpe Ratio,R$10k → Hoje,Lucro/Perda R$,Rentabilidade %,Recomendação,potencial_2026,retorno_proj_%,pct_dias_alta_%,preco_atual,preco_proj_dez26
CPLE3.SA,49.0,122,127,249,798,🔴 Fraco,59.3,34.29,1.335,13429.38,3429.38,34.29,⚖️  NEUTRO,84.7,178.87,100.0,14.45,40.2966
ITUB3.SA,46.18,115,134,249,798,🔴 Fraco,59.1,36.93,1.491,13692.93,3692.93,36.93,⚖️  NEUTRO,15.0,-67.77,7.7,40.28,12.9842
BRGE12.SA,89.02,73,9,82,798,🟢 Excelente,58.7,0.0,0.0,10000.0,0.0,0.0,⚖️  NEUTRO,45.6,-2.4,15.0,13.47,13.1461
ABEV3.SA,55.02,137,112,249,798,🟡 Bom,58.3,21.45,0.884,12144.51,2144.51,21.45,⚖️  NEUTRO,16.6,-50.04,0.8,16.29,8.1378
PNVL3.SA,51.81,129,120,249,798,🔴 Fraco,58.2,40.5,1.212,14050.06,4050.06,40.5,⚖️  NEUTRO,85.5,457.9,100.0,11.87,66.2223
SBSP3.SA,52.21,130,119,249,798,🟡 Bom,57.7,26.84,1.026,12683.51,2683.51,26.84,⚖️  NEUTRO,15.7,-53.62,0.0,28.16,13.06
CURY3.SA,49.0,122,127,249,798,🔴 Fraco,57.5,27.54,0.872,12753.81,2753.81,27.54,⚖️  NEUTRO,15.3,-65.1,3.8,32.18,11.2301
CAML3.SA,52.61,131,118,249,798,🟡 Bom,57.2,27.49,0.848,12748.59,2748.59,27.49,⚖️  NEUTRO,33.5,-17.47,41.9,5.75,4.7456
RADL3.SA,50.2,125,124,249,798,🔴 Fraco,57.2,32.85,0.916,13284.87,3284.87,32.85,⚖️  NEUTRO,15.8,-56.73,5.0,18.95,8.199
VIVT3.SA,52.21,130,119,249,798,🟡 Bom,57.1,25.76,1.098,12575.77,2575.77,25.76,⚖️  NEUTRO,84.6,168.11,92.7,33.6,90.084
UNIP6.SA,53.82,134,115,249,798,🟡 Bom,57.1,19.51,0.733,11950.7,1950.7,19.51,⚖️  NEUTRO,60.1,2.1,63.5,60.87,62.1487
JSLG3.SA,49.8,124,125,249,798,🔴 Fraco,57.0,43.35,0.91,14335.22,4335.22,43.35,⚖️  NEUTRO,14.9,-90.98,0.0,6.65,0.6001
ODPV3.SA,49.8,124,125,249,798,🔴 Fraco,56.9,30.42,0.981,13041.63,3041.63,30.42,⚖️  NEUTRO,15.7,-56.68,5.4,13.69,5.9308
BRKM5.SA,55.82,139,110,249,798,🟡 Bom,56.7,1.09,0.348,10108.99,108.99,1.09,⚖️  NEUTRO,16.7,-99.57,0.0,11.13,0.0476
TIMS3.SA,55.02,137,112,249,798,🟡 Bom,56.5,22.08,0.878,12207.84,2207.84,22.08,⚖️  NEUTRO,16.5,-95.07,0.0,22.34,1.1007
AXIA3.SA,48.19,120,129,249,798,🔴 Fraco,56.3,34.86,1.02,13486.16,3486.16,34.86,⚖️  NEUTRO,14.5,-89.58,0.0,52.7,5.4915
MATD3.SA,58.23,145,104,249,798,🟢 Excelente,56.3,13.33,0.521,11332.63,1332.63,13.33,⚖️  NEUTRO,17.8,-90.29,2.3,5.2,0.5049
EMAE4.SA,49.8,124,125,249,798,🔴 Fraco,56.3,26.73,0.785,12673.04,2673.04,26.73,⚖️  NEUTRO,29.5,-22.75,33.5,38.45,29.7033
SAPR11.SA,52.21,130,119,249,798,🟡 Bom,56.3,23.73,0.884,12372.86,2372.86,23.73,⚖️  NEUTRO,19.2,-42.26,5.4,38.51,22.2359
ISAE4.SA,44.98,112,137,249,798,🔴 Fraco,56.2,23.77,1.1,12376.92,2376.92,23.77,⚖️  NEUTRO,24.4,-28.56,22.7,27.09,19.3524
SAUD3.SA,47.39,118,131,249,798,🔴 Fraco,56.1,30.42,0.981,13041.63,3041.63,30.42,⚖️  NEUTRO,18.3,-43.01,10.8,13.69,7.8017
SAPR4.SA,53.01,132,117,249,798,🟡 Bom,56.1,21.02,0.817,12101.77,2101.77,21.02,⚖️  NEUTRO,25.7,-31.13,21.5,7.47,5.1449
ENGI11.SA,54.62,136,113,249,798,🟡 Bom,55.9,15.89,0.712,11588.87,1588.87,15.89,⚖️  NEUTRO,17.1,-48.75,1.9,48.4,24.8074
MOVI3.SA,42.17,105,144,249,798,🔴 Fraco,55.9,52.42,0.984,15242.42,5242.42,52.42,⚖️  NEUTRO,12.7,-99.46,0.0,9.81,0.0528
EZTC3.SA,44.18,110,139,249,798,🔴 Fraco,55.9,36.49,1.075,13649.19,3649.19,36.49,⚖️  NEUTRO,82.0,126.62,91.5,13.22,29.9592
BGIP4.SA,52.21,130,119,249,798,🟡 Bom,55.8,21.18,0.75,12117.86,2117.86,21.18,⚖️  NEUTRO,15.7,-89.45,0.0,32.82,3.4621
EGIE3.SA,54.22,135,114,249,798,🟡 Bom,55.7,14.59,0.666,11459.09,1459.09,14.59,⚖️  NEUTRO,86.3,636.2,100.0,32.32,237.9391
B3SA3.SA,52.21,130,119,249,798,🟡 Bom,55.7,23.5,0.797,12349.6,2349.6,23.5,⚖️  NEUTRO,84.7,66.61,93.5,16.5,27.4904
PGMN3.SA,50.6,126,123,249,798,🔴 Fraco,55.6,32.63,0.89,13262.72,3262.72,32.63,⚖️  NEUTRO,16.0,-97.8,5.8,4.42,0.0973
AURE3.SA,48.59,121,128,249,593,🔴 Fraco,55.5,25.51,0.884,12550.61,2550.61,25.51,⚖️  NEUTRO,38.6,-4.93,55.0,12.4,11.7888
WIZC3.SA,54.62,136,113,249,798,🟡 Bom,55.3,16.4,0.677,11640.47,1640.47,16.4,⚖️  NEUTRO,85.9,160.41,96.5,7.8,20.3121
TTEN3.SA,52.21,130,119,249,765,🟡 Bom,54.9,12.86,0.554,11285.93,1285.93,12.86,⚖️  NEUTRO,27.5,-21.72,13.1,15.57,12.1876
BBDC3.SA,45.38,113,136,249,798,🔴 Fraco,54.9,21.84,0.983,12183.83,2183.83,21.84,⚖️  NEUTRO,20.2,-41.86,25.0,15.59,9.0645
BMIN4.SA,51.81,129,120,249,798,🔴 Fraco,54.7,11.15,0.449,11115.23,1115.23,11.15,⚖️  NEUTRO,83.6,83.32,86.9,17.85,32.722
BBDC4.SA,47.79,119,130,249,798,🔴 Fraco,54.2,20.15,0.864,12015.16,2015.16,20.15,⚖️  NEUTRO,16.2,-49.58,11.2,17.9,9.0259
