ticker,potencial_2026,prioridade,alocacao_%,retorno_proj_%,pct_dias_alta_%,sharpe_proj,acuracia_hist_%,preco_atual,preco_proj_dez26
ANIM3.SA,86.3,FORTE,48.48,2103.05,100.0,66.497,54.22,3.31,72.921
BSLI4.SA,86.2,FORTE,23.38,1014.26,98.8,16.996,54.62,3.81,42.4535
EGIE3.SA,86.3,FORTE,14.67,636.2,100.0,130.502,54.22,32.32,237.9391
WIZC3.SA,85.9,FORTE,3.7,160.41,96.5,21.096,54.62,7.8,20.3121
CXSE3.SA,86.4,FORTE,3.41,147.98,99.6,29.418,55.02,17.44,43.2479
ESPA3.SA,84.1,FORTE,3.37,146.39,85.8,19.008,54.22,0.81,1.9957
GRND3.SA,86.0,FORTE,2.98,129.48,96.2,19.688,55.42,4.04,9.2711
