ticker,acuracia_hist_%,preco_atual,preco_proj_jun26,preco_proj_dez26,retorno_proj_%,pct_dias_alta_%,volatilidade_%,sharpe_proj,potencial_2026,Retorno Real %,Ret. Previsto %,Erro Retorno pp,classificacao
SAPR4.SA,53.01,7.47,5.4721,5.1449,-31.13,21.5,3.6,-10.011,25.7,21.02,-33.72,54.74,FRACO
FRAS3.SA,53.41,22.0,17.9373,13.5603,-38.36,7.3,2.3,-20.323,21.2,-14.08,506.93,521.01,FRACO
COGN3.SA,54.62,2.53,2.1935,1.2321,-51.3,26.5,7.03,-9.865,20.4,-2.43,-80.4,77.97,FRACO
INTB3.SA,55.82,14.01,10.8678,7.7851,-44.43,10.8,3.35,-16.96,20.3,3.9,-2.08,5.98,FRACO
SAPR11.SA,52.21,38.51,28.3211,22.2359,-42.26,5.4,2.62,-20.293,19.2,23.73,-61.29,85.02,FRACO
PSSA3.SA,53.41,48.28,35.1148,26.677,-44.75,5.0,2.85,-20.123,18.6,-1.58,206.08,207.66,FRACO
MATD3.SA,58.23,5.2,1.7338,0.5049,-90.29,2.3,5.43,-41.44,17.8,13.33,-68.98,82.31,FRACO
RDOR3.SA,55.42,34.47,22.2711,11.0883,-67.83,7.7,3.72,-29.458,17.8,0.8,-29.66,30.45,FRACO
ENGI11.SA,54.62,48.4,37.4548,24.8074,-48.75,1.9,1.5,-43.152,17.1,15.89,-7.82,23.71,FRACO
DASA3.SA,55.82,3.29,0.0323,0.0002,-99.99,0.0,10.88,-84.263,16.7,106.92,-97.73,204.65,FRACO
BRKM5.SA,55.82,11.13,0.9111,0.0476,-99.57,0.0,8.3,-63.017,16.7,1.09,42.81,41.72,FRACO
BHIA3.SA,55.42,1.38,0.2675,0.044,-96.81,0.0,5.46,-60.729,16.6,-65.33,-61.71,3.61,FRACO
ABEV3.SA,55.02,16.29,13.5811,8.1378,-50.04,0.8,2.72,-24.679,16.6,21.45,-28.95,50.4,FRACO
TIMS3.SA,55.02,22.34,5.4796,1.1007,-95.07,0.0,2.15,-134.684,16.5,22.08,-38.9,60.98,FRACO
VBBR3.SA,55.02,30.91,5.556,0.9281,-97.0,0.0,2.45,-137.988,16.5,71.04,-52.69,123.73,FRACO
CSAN3.SA,54.22,3.94,0.381,0.0423,-98.93,0.4,6.36,-68.522,16.3,-52.13,-57.51,5.39,FRACO
SIMH3.SA,53.41,9.12,4.7591,2.1368,-76.57,1.5,4.53,-30.906,16.3,-14.45,-70.13,55.69,FRACO
FLRY3.SA,53.01,15.74,8.1743,3.9393,-74.97,0.0,1.09,-122.921,15.9,32.59,-47.25,79.85,FRACO
VIVA3.SA,53.01,22.15,9.904,4.6549,-78.98,0.0,3.99,-37.735,15.9,-12.97,40.54,53.52,FRACO
SBSP3.SA,52.21,28.16,19.8908,13.06,-53.62,0.0,1.34,-55.593,15.7,26.84,204.92,178.09,FRACO
BGIP4.SA,52.21,32.82,11.9728,3.4621,-89.45,0.0,2.94,-73.808,15.7,21.18,-91.28,112.46,FRACO
