ticker,potencial_2026,status,retorno_proj_%,pct_dias_alta_%,volatilidade_%,sharpe_proj,acuracia_hist_%,preco_atual,preco_proj_dez26,nota
POSI3.SA,58.1,↔️  Lateral,3.39,46.5,2.49,1.309,53.01,4.14,4.2804,Bom risco/retorno — acompanhar próximas semanas
BRGE12.SA,45.6,📉 Tendência Negativa,-2.4,15.0,0.14,-16.77,89.02,13.47,13.1461,Projeção moderada — só com queda de preço favorável
